ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00066,chromosphere_200p,0.001063805131936039,29.731379189166162,0.9398611648815495,11,9.0,100
00067,chromosphere_200p,0.0015631161620784284,28.06008746436927,0.9424605155801615,11,9.0,100
00068,chromosphere_200p,0.0027807080729817333,25.55844602271371,0.9169620410418658,11,9.0,100
00069,chromosphere_200p,0.0013485395499534707,28.701363120403997,0.8906334632072724,11,9.0,100
00070,chromosphere_200p,0.002568602320316012,25.90303129467173,0.7972926172722095,11,9.0,100
00071,chromosphere_200p,0.0012351610027081488,29.08276428614572,0.9015834969356143,11,9.0,100
00072,chromosphere_200p,0.0014635857958387578,28.345818140110527,0.9054641288762086,11,9.0,100
00073,chromosphere_200p,0.0010941165993601757,29.60936393029675,0.9140360547944169,11,9.0,100
00074,chromosphere_200p,0.0019652070810915138,27.065916796718433,0.8817063057030451,11,9.0,100
00075,chromosphere_200p,0.0010406478442753237,29.826962110873918,0.879546887624044,11,9.0,100
00076,chromosphere_200p,0.0006085068514445035,32.15734527495067,0.9086848158915617,11,9.0,100
00077,chromosphere_200p,0.0018953885986444192,27.22301736120571,0.9092023669134384,11,9.0,100
00078,chromosphere_200p,0.00028459722494069995,35.45769338962967,0.936759951892016,11,9.0,100
00079,chromosphere_200p,0.0016117893845716033,27.926917088673513,0.859812317763172,11,9.0,100
00080,chromosphere_200p,0.0010726475112433382,29.69542970552299,0.9165109689896698,11,9.0,100
00081,chromosphere_200p,0.0023471537674920676,26.294584578297055,0.8805274633363107,11,9.0,100
00082,chromosphere_200p,0.0008914116409147777,30.4992169877571,0.9375216098340672,11,9.0,100
00083,chromosphere_200p,0.00623806162220088,22.049503394138192,0.877799648953986,11,9.0,100
00084,chromosphere_200p,0.0011114069847794636,29.54126878162799,0.9124533151627109,11,9.0,100
00085,chromosphere_200p,0.0004086709403551796,33.88626242866059,0.9261444028794229,11,9.0,100
00086,chromosphere_200p,0.0012558086658413217,29.010765243720464,0.8981305990514765,11,9.0,100
00087,chromosphere_200p,0.2566715358225978,5.9062229073876065,0.4943028205935853,11,9.0,100
00088,chromosphere_200p,0.0007740828381166898,31.11212561007138,0.9369422951159971,11,9.0,100
00089,chromosphere_200p,0.0007662816003147148,31.156116024450423,0.9234605981107409,11,9.0,100
00090,chromosphere_200p,0.001611580339209253,27.92748039512138,0.8845170594420341,11,9.0,100
00091,chromosphere_200p,0.0009422719025708149,30.258237588344826,0.8682779088962388,11,9.0,100
00092,chromosphere_200p,0.0014518731641254678,28.38071322015006,0.8987644066469299,11,9.0,100
00093,chromosphere_200p,0.0008242231613283426,30.839551856185636,0.925334909181907,11,9.0,100
00094,chromosphere_200p,0.0012798235815685728,28.928498919394286,0.8770509082471732,11,9.0,100
00095,chromosphere_200p,0.0005759102881209231,32.39645163119275,0.9210264431374787,11,9.0,100
00096,chromosphere_200p,0.0012915712679609065,28.888816247766044,0.8980265177778961,11,9.0,100
00097,chromosphere_200p,0.0006886923952146598,31.619747126216847,0.9179405391405848,11,9.0,100
00098,chromosphere_200p,0.0006306507510502508,32.00211082725142,0.9390402770410146,11,9.0,100
00099,chromosphere_200p,0.0005977584709295099,32.23474260713023,0.9238117818022584,11,9.0,100
