ID,prefix,MSE,PSNR_dB,SSIM,p,sigma,frames_used
00145,continuum_200p,0.0009566107687430059,30.192647345038406,0.8153836772588302,11,9.0,100
00146,continuum_200p,0.0015917098094714206,27.981361072220274,0.7931408213097818,11,9.0,100
00147,continuum_200p,0.0006223477618819641,32.059668679439966,0.8596805929852259,11,9.0,100
00148,continuum_200p,0.0006032809936021407,32.19480356937428,0.9043830796051423,11,9.0,100
00149,continuum_200p,0.001341269467856297,28.724839614127916,0.8309502215286941,11,9.0,100
00150,continuum_200p,0.002561619225126398,25.914854260029387,0.8366891512204112,11,9.0,100
00151,continuum_200p,0.0005008764044690427,33.00269426785747,0.8716539832086277,11,9.0,100
00152,continuum_200p,0.00033316615017969683,34.77339129525001,0.9099820651722192,11,9.0,100
00153,continuum_200p,0.0004444544208761852,33.52172769624953,0.9077310583057892,11,9.0,100
00154,continuum_200p,0.003057443833759878,25.14641512349634,0.8086414707880707,11,9.0,100
00155,continuum_200p,0.001284316168882869,28.913280498664857,0.8366820684713678,11,9.0,100
00156,continuum_200p,0.0015666665375239468,28.05023432583502,0.8629703431967888,11,9.0,100
00157,continuum_200p,0.0013150437677943486,28.810597925770757,0.7412645109244977,11,9.0,100
00158,continuum_200p,0.0006522429554026627,31.855906028314557,0.9002651515193246,11,9.0,100
00159,continuum_200p,0.0006489529518489537,31.877867877805826,0.8501048477070426,11,9.0,100
00160,continuum_200p,0.0022884440116220407,26.404597084239413,0.810175524118404,11,9.0,100
00161,continuum_200p,0.0019281797850442723,27.148524745761144,0.8006950996854123,11,9.0,100
00162,continuum_200p,0.001487415766276086,28.27567619399285,0.7744784003898804,11,9.0,100
00163,continuum_200p,0.0015625931033800538,28.0615409681295,0.8596523192332384,11,9.0,100
00164,continuum_200p,0.0011937507354201477,29.230863478573585,0.8620611951522065,11,9.0,100
00165,continuum_200p,0.0006546396289670694,31.839977079788497,0.8778281528109675,11,9.0,100
00166,continuum_200p,0.0019282834841299172,27.148291184917742,0.6501395046791676,11,9.0,100
00167,continuum_200p,0.0012167354827208742,29.148038267666657,0.6993056987979043,11,9.0,100
00168,continuum_200p,0.0007726023794946365,31.12043958629978,0.8658444770448719,11,9.0,100
00169,continuum_200p,0.00038073273470846643,34.19379781730204,0.9047321671153921,11,9.0,100
00170,continuum_200p,0.001594698088792872,27.973215262634046,0.884396539123443,11,9.0,100
00171,continuum_200p,0.0006937680040982751,31.587857332688,0.898891675030336,11,9.0,100
00172,continuum_200p,0.0005828149655242182,32.34469304944018,0.8801761803118721,11,9.0,100
00173,continuum_200p,0.0008272246564510545,30.82376529374589,0.8647434303859268,11,9.0,100
00174,continuum_200p,0.0014120500868237509,28.501498981529284,0.8644550187937282,11,9.0,100
00175,continuum_200p,0.0014333829110973063,28.43637777528249,0.8341871880189535,11,9.0,100
00176,continuum_200p,0.0004494279492028292,33.473399230002734,0.9068843377386226,11,9.0,100
00177,continuum_200p,0.0025415809968970865,25.948960453376557,0.8495495024574083,11,9.0,100
00178,continuum_200p,0.0008865758767559362,30.522840897909276,0.8434687058049364,11,9.0,100
00179,continuum_200p,0.001018101452242957,29.922089430661,0.8965398750648523,11,9.0,100
00180,continuum_200p,0.00035613784452082287,34.48381874140193,0.8818108460869004,11,9.0,100
00181,continuum_200p,0.0005165541157516371,32.8688417377418,0.9009524168493989,11,9.0,100
00182,continuum_200p,0.0005542598915281452,32.56286547563482,0.9061386458223338,11,9.0,100
00183,continuum_200p,0.0009086957166293678,30.415815191012335,0.9062198393933811,11,9.0,100
00184,continuum_200p,0.0003972503471312808,34.00935714618673,0.8780908049190466,11,9.0,100
00185,continuum_200p,0.0004767864235729532,33.21676119566679,0.9011391846455504,11,9.0,100
00186,continuum_200p,0.0007137089694466184,31.464788452681596,0.8651461849350116,11,9.0,100
00187,continuum_200p,0.0003019949971236413,35.200002515448126,0.8832287368298735,11,9.0,100
00188,continuum_200p,0.00040929866327061405,33.87959673715698,0.9217486483287332,11,9.0,100
00189,continuum_200p,0.003968406046431755,24.013838973286767,0.7898811315120424,11,9.0,100
00190,continuum_200p,0.0008373696823961647,30.770827671209332,0.840639314483811,11,9.0,100
00191,continuum_200p,0.0021623485974068607,26.650742910828654,0.7019274042249706,11,9.0,100
00192,continuum_200p,0.0024332944495294856,26.138053345264826,0.7012156496767739,11,9.0,100
00193,continuum_200p,0.0008123537690883228,30.902548001873896,0.8452466197309585,11,9.0,100
00194,continuum_200p,0.000556749437753128,32.54340212876479,0.8448499612035514,11,9.0,100
00195,continuum_200p,0.0009503138954540665,30.221329204512823,0.8211816736486761,11,9.0,100
00196,continuum_200p,0.0018195963150317777,27.40024951355704,0.6289110479438208,11,9.0,100
00197,continuum_200p,0.0035286268829551625,24.523942615155118,0.7099008066945655,11,9.0,100
00198,continuum_200p,0.0006893820266561645,31.615400435648603,0.8979330069225997,11,9.0,100
00199,continuum_200p,0.0010912481841266408,29.620764659662694,0.8766662289222954,11,9.0,100
